product,category,date,predicted_sales,lower_bound,upper_bound,type,MAE,Error_%
Blueberry cheesecake,Sweets,10/21/2022,1.07779811,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Blueberry cheesecake,Sweets,10/22/2022,0.849439015,0,21.14025603,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/16/2022,0.044138376,0,18.07429114,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/17/2022,0.034925473,0,16.87794988,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/18/2022,0.045356323,0,19.01422819,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/19/2022,0.045386697,0,19.21328758,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/20/2022,0.063760935,0,22.05367507,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/21/2022,0.075634955,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Candy Cake,Sweets,10/22/2022,0.059609755,0,21.14025603,category_distribution,16.70617491,68.69555739
Cappuccino,Espresso Drinks,10/16/2022,2.264363313,0,7.467967019,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/17/2022,3.194284481,0,8.869489563,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/18/2022,2.929180106,0,8.615203144,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/19/2022,3.200550245,0,9.356357104,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/20/2022,4.081580914,0,9.244655874,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/21/2022,5.230836224,0,11.25018525,high_item_model,10.10414962,78.49504661
Cappuccino,Espresso Drinks,10/22/2022,4.576778742,0,10.38133083,high_item_model,10.10414962,78.49504661
Caramel Macchiato,Espresso Drinks,10/16/2022,0.195949793,0,4.041176281,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/17/2022,0.177600279,0,3.782592646,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/18/2022,0.154074482,0,3.628162997,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/19/2022,0.156317405,0,3.859096551,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/20/2022,0.235960632,0,4.035094437,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/21/2022,0.423939745,0,4.855007687,category_distribution,3.087697894,77.19244734
Caramel Macchiato,Espresso Drinks,10/22/2022,0.372843611,0,4.653509002,category_distribution,3.087697894,77.19244734
Caramel Muffin,Bakery,10/16/2022,0.136636448,0,8.606133769,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/17/2022,0.157879065,0,9.035584777,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/18/2022,0.157987529,0,9.271938936,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/19/2022,0.153866893,0,8.99773003,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/20/2022,0.218430359,0,10.69881842,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/21/2022,0.174152811,0,9.701790889,category_distribution,6.736333354,66.35360477
Caramel Muffin,Bakery,10/22/2022,0.190869106,0,9.898608959,category_distribution,6.736333354,66.35360477
Carmen,Sweets,10/16/2022,0.037832894,0,18.07429114,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/17/2022,0.02993612,0,16.87794988,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/18/2022,0.038876849,0,19.01422819,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/19/2022,0.038902883,0,19.21328758,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/20/2022,0.05465223,0,22.05367507,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/21/2022,0.064829961,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Carmen,Sweets,10/22/2022,0.051094076,0,21.14025603,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/16/2022,0.034680152,0,18.07429114,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/17/2022,0.027441443,0,16.87794988,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/18/2022,0.035637111,0,19.01422819,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/19/2022,0.035660976,0,19.21328758,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/20/2022,0.050097877,0,22.05367507,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/21/2022,0.059427465,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Carrot Cake,Sweets,10/22/2022,0.046836236,0,21.14025603,category_distribution,16.70617491,68.69555739
Cheddar cheese pastry,Bakery,10/16/2022,0.02602599,0,8.606133769,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/17/2022,0.030072203,0,9.035584777,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/18/2022,0.030092863,0,9.271938936,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/19/2022,0.02930798,0,8.99773003,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/20/2022,0.041605783,0,10.69881842,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/21/2022,0.033171964,0,9.701790889,category_distribution,6.736333354,66.35360477
Cheddar cheese pastry,Bakery,10/22/2022,0.03635602,0,9.898608959,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/16/2022,0.819818688,0,8.606133769,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/17/2022,0.947274389,0,9.035584777,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/18/2022,0.947925173,0,9.271938936,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/19/2022,0.923201355,0,8.99773003,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/20/2022,1.310582152,0,10.69881842,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/21/2022,1.044916866,0,9.701790889,category_distribution,6.736333354,66.35360477
Cheese Croissant,Bakery,10/22/2022,1.145214636,0,9.898608959,category_distribution,6.736333354,66.35360477
Cheese Saffron,Sweets,10/16/2022,0.398821752,0,18.07429114,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/17/2022,0.315576599,0,16.87794988,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/18/2022,0.40982678,0,19.01422819,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/19/2022,0.410101223,0,19.21328758,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/20/2022,0.57612559,0,22.05367507,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/21/2022,0.683415844,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Cheese Saffron,Sweets,10/22/2022,0.538616719,0,21.14025603,category_distribution,16.70617491,68.69555739
Chemex - Colombian,Dripp Coffee Drinks,10/16/2022,0.450242163,0,6.955575594,category_distribution,3.413892931,67.08523227
Chemex - Colombian,Dripp Coffee Drinks,10/17/2022,0.36417805,0,6.269539733,category_distribution,3.413892931,67.08523227
Chemex - Colombian,Dripp Coffee Drinks,10/18/2022,0.278124893,0,5.742015026,category_distribution,3.413892931,67.08523227
Chemex - Colombian,Dripp Coffee Drinks,10/19/2022,0.588528887,0,7.516603503,category_distribution,3.413892931,67.08523227
